"HolderAddress","Balance","PendingBalanceUpdate"
"0x1746a24068465956e739abb7cb84218f7cc5c3c0","6","No"
"0x6f8975d3b46db7d379dc30d168a2cd7a1e2939d3","6","No"
"0xea6b3568173e32d43070c3e7f1b775c8ee0a6b18","6","No"
"0x335775700401e15f265b6588bcd42e18bd8bb970","11","No"
"0xf7eb49716422e78bb753a70a05f17cba4d571054","6","No"
"0xb1931bc5d211c435f8c776cb09fa6b2db5b70fc6","6","No"
"0xc8b24012e532f6c5ee93db62f4fba4a3464e8df1","6","No"
"0x13ef9ad1b273204171431136ba2cda30fe2b2eca","6","No"
"0xbcbffb72b004eec8d8b5e2e8441809a9cb6d74bf","6","No"
"0xe1ad5e1b3db1e44dc7ca0f03c578d5e3d49c2a3b","6","No"
"0x228712e67d140d314d8fda7994a11e90cefd623a","6","No"
"0x086662658cc474bfb4f7a061de2f184622ec4ef1","5","No"
"0xb2a64d2f9983600848ef5892eca71b4032aba3c2","6","No"
"0xd3952e63c95ab4cb6b934c3d1dcaa0f42bf220bb","6","No"
"0x5e1d5c488a2972af0a0f13ee1b66912d7f95776e","6","No"
"0xe76efbf70e5307482f20a875eb1231259f8cd2ad","6","No"
"0xc279e034c8eb7e67d182ba51cd8fb95e5d16d2bf","6","No"
"0x64d2a025aacc5dff443e2177e8dd4422ea9a6aaf","604","No"
"0x14c6a2ffed0abffb5b828fe33114bf2215f0f196","1","No"
"0x9c40911e46909af2001a81c194c904bd6d7b8929","6","No"
"0x9781ce30e7ee7d426056e5fea4deb8bde0b3c487","6","No"
"0xd126a2a0ad225e6cda63cad7b7535d041a9c94ee","6","No"
"0x5c9377e93060a87f97dafaaf7a8eb5be55e45513","6","No"
"0x12677b4375bb75912bbc1a2ca266a238400a8800","615","No"
"0x80a94831beb5e6abaeed2ec6b136a7b64c5abd81","6","No"
"0xaac11fd2bb76f7e70be29fd17b794467a6fe8565","6","No"
"0x58f83b5943ec3e0273bc8dd3ca2b04dc68d485b8","6","No"
"0x87fdf363ce626853d8c6ac3d6a86ebe339b7ec27","6","No"
"0x9aead66d811e5ee010246601a80dd2b87d8376ac","6","No"
"0xfc1a3bcb4af69864c79769f61e744340e985b259","5128","No"
"0x5b32abc38a3f6bda74c244ce8b3083d440334be6","693","No"
"0x74cc4ef290414b834b1d0c2cf4108fcb385d0dc0","11","No"
"0x5fa15c37f40f87b358948bd077a01357d3dc4d7b","6","No"
"0xf6044c170fe3c137922e1d0232782cf3bbaa1cf7","6","No"
"0x26a59ea68cb6303a8db9b2dd1aa331df994d802e","5","No"
